variant,side,entry_time,entry_price,stop,target,size,exit_time,exit_price,pnl
"0.50% stop, ATR×3.0",long,2026-02-01 09:00:00,79044.1,78648.87950000001,81089.86428571428,12,2026-02-01 10:00:00,78648.87950000001,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-02 03:00:00,76298.4,76679.89199999999,72668.78571428571,13,2026-02-02 06:00:00,76679.89199999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-03 00:00:00,79075.1,78679.72450000001,81270.43571428572,12,2026-02-03 02:00:00,78679.72450000001,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-05 02:00:00,71457.1,71814.3855,67459.40714285715,13,2026-02-05 03:00:00,71814.3855,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-05 04:00:00,70883.0,71237.415,67184.06428571428,14,2026-02-05 07:00:00,71237.415,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-05 11:00:00,70324.1,70675.7205,67227.54285714286,14,2026-02-05 14:00:00,70675.7205,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-06 11:00:00,66623.3,66290.1835,71622.43571428572,15,2026-02-06 12:00:00,66290.1835,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-07 03:00:00,70920.0,70565.4,74578.39285714286,14,2026-02-07 05:00:00,70565.4,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-07 07:00:00,68096.9,68437.38449999999,64768.65714285714,14,2026-02-07 08:00:00,68437.38449999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-08 08:00:00,70659.7,70306.40149999999,72135.29285714285,14,2026-02-08 09:00:00,70306.40149999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-08 11:00:00,70988.0,70633.06,72687.04999999999,14,2026-02-08 15:00:00,71181.5,2725.8128134332383
"0.50% stop, ATR×3.0",short,2026-02-09 08:00:00,69871.1,70220.4555,67554.2642857143,14,2026-02-09 15:00:00,69567.1,4350.86895726571
"0.50% stop, ATR×3.0",short,2026-02-10 06:00:00,68919.4,69263.99699999999,66769.3,14,2026-02-10 09:00:00,69263.99699999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-10 11:00:00,68530.9,68873.55449999998,66846.29285714285,14,2026-02-10 13:00:00,68873.55449999998,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-11 05:00:00,67406.9,67069.8655,69298.24999999999,14,2026-02-11 06:00:00,67069.8655,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-11 10:00:00,66539.8,66872.499,64906.42857142858,15,2026-02-11 11:00:00,66872.499,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-13 08:00:00,66698.9,66365.4055,68305.95714285714,14,2026-02-13 15:00:00,68704.0,30061.96503990323
"0.50% stop, ATR×3.0",long,2026-02-14 00:00:00,69099.7,68754.2015,70816.57857142856,14,2026-02-14 06:00:00,68754.2015,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-14 08:00:00,69745.1,69396.3745,70601.40714285715,14,2026-02-14 13:00:00,69396.3745,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-15 03:00:00,69950.1,69600.34950000001,71199.87857142858,14,2026-02-15 12:00:00,69600.34950000001,-5000.0
"0.50% stop, ATR×3.0",short,2026-02-16 02:00:00,68329.0,68670.64499999999,66816.07857142857,14,2026-02-16 04:00:00,68670.64499999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-02-16 09:00:00,68994.5,68649.5275,70254.02857142857,14,2026-02-16 11:00:00,68649.5275,-5000.0
